"","word","delta"
"3","experience",143
"4","analytics",117
"5","learning",92
"6","statistical",87
"7","business",83
"8","machine",78
"9","python",75
"10","analysis",74
"11","insights",69
"12","models",68
"13","people",67
"14","technology",65
"15","sql",64
